AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1997,,,,,,,,30.4,27.7,21.6,15.7,11.9
1998,11.4,14.9,18.8,21.7,24.8,30.7,31.5,29.4,,22.5,18.4,13.6
1999,13,14.3,18.5,23.2,25.2,28.7,30,30.2,25.4,20.1,15.7,13.4
2000,13,13.9,19.6,21.2,25.5,28.3,29.9,30.7,28,21.3,18.8,11.9
2001,12.5,14.3,16.7,21.3,24.6,28.7,30.3,31.6,27.5,21.6,16.5,13.4
2002,12.5,16.4,19.7,21,24.8,25.5,29.1,28.7,26.8,22.9,17.2,13.3
2003,12.7,14.5,18.3,17.5,25.2,28.5,29.4,29.7,28.1,21.7,19.7,14.1
2004,12.4,14.4,17.9,20.3,25.4,29,30.5,30.6,26.9,20.7,16.2,15.3
2005,13.5,15.1,17.1,21.5,24.1,28,29.6,29.5,28.4,20.8,16,11.7
2006,11,14.8,16.2,22.4,25.3,28.8,30.3,29.5,28.5,22.2,17.8,13.1
2007,12.8,15,18.4,20.3,26.1,28.3,30.7,27.4,25.5,22.9,19.3,14.4
2008,11.7,12.7,19,21.4,26.3,28.9,30,33.6,27.3,22.3,17,12.7
2009,13.7,14.3,18.9,21.9,27.1,29.2,28.5,28.4,29,21.8,15.6,12.6
2010,14.1,13.1,17.1,20.8,24.2,27.3,28.1,29.5,26.9,21.7,15.2,15
2011,11,15.1,16.9,22.4,26.8,27.7,27.7,30.9,29.6,23.1,17.4,14.5
2012,13.5,13.8,17.4,22.3,25.5,,29.2,31,27.8,22.4,18.6,14.3
2013,11.4,15.6,19.9,21.5,25.4,28,30,30.9,26.4,21,16.8,11.9
2014,13.3,14.3,16.1,21.2,25.5,29.4,29.9,32.4,26.8,22.6,17.1,13.2
2015,12.8,15.5,19.9,19.8,25.1,28.3,31.2,29.7,25.2,22.8,17.2,13.8
2016,11.4,16.9,17.9,21.5,24.7,27.8,28.6,29.7,26.3,25.1,15,12.2
2017,12.2,15.7,17.8,22.5,24.6,29,32.2,29,28,22.9,14.6,12.9
2018,14.1,15.1,16.9,22.5,25.2,29.4,30.6,28.9,28.5,21.5,15.8,12.6
2019,12.3,15.1,17.4,22.6,26.1,28.1,31.2,31.6,27.4,22.5,15.2,13.2
2020,12.4,15.3,18.2,22.1,27.7,28.3,29.6,28.7,27.5,23.9,15.3,12.9
2021,12.8,,18.8,22.2,25.6,29.6,31.4,28.2,28.5,22.7,16.7,10.7
2022,11.1,17,17.6,20.5,25.4,28.1,30.3,32.1,26.9,23,16,15.5
2023,13,13.7,19.5,23.3,26.1,27.1,32.4,30.7,29,22.2,16.9,13.9
2024,14.2,15.2,16.9,22.2,27.9,29.1,30.4,28.8,26,22.1,17,13.9
2025,13.1,17,18.5,23.1,25.9,30.8,28,,,,,
