date,temperature
01/08/1997,30.9
01/09/1997,29.4
01/10/1997,24.6
01/11/1997,20.2
01/12/1997,17.2
01/01/1998,15.1
01/02/1998,18.5
01/03/1998,21.6
01/04/1998,22.1
01/05/1998,26.3
01/06/1998,29.5
01/07/1998,31.1
01/08/1998,30.9
01/09/1998,29.4
01/10/1998,24.6
01/11/1998,20.2
01/12/1998,17.2
01/01/1999,19.6
01/02/1999,22.3
01/03/1999,23.5
01/04/1999,26.9
01/05/1999,28.8
01/06/1999,30.2
01/07/1999,30.1
01/08/1999,30.8
01/09/1999,28.4
01/10/1999,25.4
01/11/1999,22.5
01/12/1999,18.5
01/01/2000,20
01/02/2000,22.7
01/03/2000,24.6
01/04/2000,26
01/05/2000,29.1
01/06/2000,30
01/07/2000,31.6
01/08/2000,30.8
01/09/2000,29.6
01/10/2000,24.9
01/11/2000,21.1
01/12/2000,15.3
01/01/2001,16.5
01/02/2001,20.7
01/03/2001,21.3
01/04/2001,27
01/05/2001,28.6
01/06/2001,31.4
01/07/2001,31.3
01/08/2001,31.1
01/09/2001,28.6
01/10/2001,26.1
01/11/2001,22.6
01/12/2001,19.2
01/01/2002,19.2
01/02/2002,16.8
01/03/2002,21.2
01/04/2002,26.7
01/05/2002,29.2
01/06/2002,30
01/07/2002,30.3
01/08/2002,31.4
01/09/2002,29.1
01/10/2002,27.1
01/11/2002,20.2
01/12/2002,18.6
01/01/2003,16.3
01/02/2003,18.2
01/03/2003,21.9
01/04/2003,25.1
01/05/2003,29.8
01/06/2003,30.6
01/07/2003,30.3
01/08/2003,30.6
01/09/2003,28.4
01/10/2003,25.5
01/11/2003,23.5
01/12/2003,18.9
01/01/2004,18
01/02/2004,18.2
01/03/2004,23.5
01/04/2004,24.6
01/05/2004,27.1
01/06/2004,30
01/07/2004,31.2
01/08/2004,30.8
01/09/2004,28.9
01/10/2004,28.2
01/11/2004,23.2
01/12/2004,17.6
01/01/2005,19.9
01/02/2005,19.9
01/03/2005,22.6
01/04/2005,25.5
01/05/2005,27.5
01/06/2005,31.1
01/07/2005,31.4
01/08/2005,31.7
01/09/2005,30.6
01/10/2005,26.6
01/11/2005,24
01/12/2005,18
01/01/2006,20
01/02/2006,19.8
01/03/2006,24.2
01/04/2006,27.5
01/05/2006,28.8
01/06/2006,30.2
01/07/2006,30.2
01/08/2006,31.1
01/09/2006,29.4
01/10/2006,26.5
01/11/2006,22.9
01/12/2006,18.1
01/01/2007,14.5
01/02/2007,19
01/03/2007,23.3
01/04/2007,24.2
01/05/2007,27.9
01/06/2007,30.1
01/07/2007,30.1
01/08/2007,30.5
01/09/2007,28.7
01/10/2007,25.9
01/11/2007,22.1
01/12/2007,20.6
01/01/2008,17.2
01/02/2008,22
01/03/2008,22.5
01/04/2008,25.6
01/05/2008,29.1
01/06/2008,30.6
01/07/2008,28.9
01/08/2008,30.4
01/09/2008,27.7
01/10/2008,25.2
01/11/2008,22.2
01/12/2008,18.5
01/01/2009,19
01/02/2009,21.8
01/03/2009,22
01/04/2009,25.8
01/05/2009,28.6
01/06/2009,30
01/07/2009,31.1
01/08/2009,30.9
01/09/2009,27.9
01/10/2009,26.3
01/11/2009,21.1
01/12/2009,14.4
01/01/2010,16.2
01/02/2010,15.7
01/03/2010,20.1
01/04/2010,24.4
01/05/2010,28.3
01/06/2010,30.3
01/07/2010,29.9
01/08/2010,31.3
01/09/2010,28.4
01/10/2010,25.9
01/11/2010,21.8
01/12/2010,18.7
01/01/2011,17.4
01/02/2011,17.2
01/03/2011,23.1
01/04/2011,27.1
01/05/2011,28.2
