date,temperature
01/08/1997,28.5
01/09/1997,27.2
01/10/1997,25.6
01/11/1997,23.2
01/12/1997,20.4
01/01/1998,21
01/02/1998,20.6
01/03/1998,20.8
01/04/1998,24.1
01/05/1998,26.7
01/06/1998,29.2
01/07/1998,29
01/08/1998,29.1
01/09/1998,28.3
01/10/1998,26.8
01/11/1998,24.4
01/12/1998,22.9
01/01/1999,21.1
01/02/1999,20.6
01/03/1999,21.3
01/04/1999,24.9
01/05/1999,25.6
01/06/1999,26.6
01/07/1999,28.5
01/08/1999,28.2
01/09/1999,27.3
01/10/1999,25.9
01/11/1999,23.2
01/12/1999,20.9
01/01/2000,20.1
01/02/2000,20.6
01/03/2000,23.5
01/04/2000,23.7
01/05/2000,26.2
01/06/2000,27.5
01/07/2000,28.1
01/08/2000,28.2
01/09/2000,28.1
01/10/2000,25.3
01/11/2000,22.9
01/12/2000,20.5
01/01/2001,17
01/02/2001,23.1
01/03/2001,22.6
01/04/2001,24.1
01/05/2001,25
01/06/2001,27.6
01/07/2001,27.7
01/08/2001,28.7
01/09/2001,27
01/10/2001,25.8
01/11/2001,23.2
01/12/2001,22.7
01/01/2002,20.8
01/02/2002,20.9
01/03/2002,23.6
01/04/2002,25.4
01/05/2002,26.7
01/06/2002,26.7
01/07/2002,28
01/08/2002,28.4
01/09/2002,28.3
01/10/2002,27.5
01/11/2002,23.1
01/12/2002,21.3
01/01/2003,17.1
01/02/2003,22.3
01/03/2003,25.5
01/04/2003,24
01/05/2003,27.1
01/06/2003,27.7
01/07/2003,28.8
01/08/2003,28.1
01/09/2003,27.5
01/10/2003,26.6
01/11/2003,24.1
01/12/2003,19.4
01/01/2004,19.2
01/02/2004,21.2
01/03/2004,22.3
01/04/2004,22.9
01/05/2004,26
01/06/2004,28.7
01/07/2004,28.6
01/08/2004,28.3
01/09/2004,27.7
01/10/2004,25.9
01/11/2004,23.7
01/12/2004,20.3
01/01/2005,19.8
01/02/2005,20
01/03/2005,21.5
01/04/2005,22.8
01/05/2005,25.7
01/06/2005,27
01/07/2005,29.2
01/08/2005,29.1
01/09/2005,28.2
01/10/2005,26
01/11/2005,25
01/12/2005,20.5
01/01/2006,20.7
01/02/2006,19.7
01/03/2006,21.9
01/04/2006,24.7
01/05/2006,25.8
01/06/2006,27.8
01/07/2006,28
01/08/2006,28.4
01/09/2006,27.7
01/10/2006,26.5
01/11/2006,22.5
01/12/2006,23.3
01/01/2007,22.3
01/02/2007,20.4
01/03/2007,22.9
01/04/2007,23.6
01/05/2007,25.5
01/06/2007,27
01/07/2007,28.4
01/08/2007,29.1
01/09/2007,27.9
01/10/2007,27.3
01/11/2007,23.6
01/12/2007,23.6
01/01/2008,21.1
01/02/2008,23.1
01/03/2008,23.3
01/04/2008,24.4
01/05/2008,27
01/06/2008,28.1
01/07/2008,28
01/08/2008,28.5
01/09/2008,28.2
01/10/2008,25.5
01/11/2008,22.4
01/12/2008,22.3
01/01/2009,19.7
01/02/2009,19.8
01/03/2009,22.1
01/04/2009,24.6
01/05/2009,26.5
01/06/2009,27.8
01/07/2009,28.9
01/08/2009,29.4
01/09/2009,28.3
01/10/2009,27.6
01/11/2009,24.1
01/12/2009,22.7
01/01/2010,17.4
01/02/2010,18.1
01/03/2010,19.7
01/04/2010,24.4
01/05/2010,27.4
01/06/2010,29.4
01/07/2010,29.1
01/08/2010,29
01/09/2010,28.2
01/10/2010,26.1
01/11/2010,23.1
01/12/2010,16.2
01/01/2011,19.3
01/02/2011,22
01/03/2011,22.9
01/04/2011,26.4
01/05/2011,27
01/06/2011,28.3
01/07/2011,29
01/08/2011,28.6
01/09/2011,28.3
01/10/2011,25.7
01/11/2011,23.8
01/12/2011,22.6
01/01/2012,20.3
01/02/2012,22.4
01/03/2012,23.7
01/04/2012,24
01/05/2012,26
01/06/2012,27.9
01/07/2012,28.3
01/08/2012,28.5
01/09/2012,27.7
01/10/2012,26
01/11/2012,21.7
01/12/2012,22.1
01/01/2013,22.6
01/02/2013,21.7
01/03/2013,19.8
01/04/2013,25.1
01/05/2013,25.6
01/06/2013,27.8
01/07/2013,27.7
01/08/2013,28.6
01/09/2013,27.8
01/10/2013,26.7
01/11/2013,24.7
01/12/2013,23.7
01/01/2014,20
01/02/2014,23.2
01/03/2014,22.9
01/04/2014,25
01/05/2014,26.6
01/06/2014,27.1
01/07/2014,28.3
01/08/2014,28.9
01/09/2014,27.6
01/10/2014,26.3
01/11/2014,22.3
01/12/2014,21.6
01/01/2015,21.4
01/02/2015,20.1
01/03/2015,24.4
01/04/2015,26.4
01/05/2015,26.8
01/06/2015,28.2
01/07/2015,28.9
01/08/2015,29
01/09/2015,28
01/10/2015,26.5
01/11/2015,25.5
01/12/2015,24.8
01/01/2016,19.7
01/02/2016,20.1
01/03/2016,24.1
01/04/2016,24.7
01/05/2016,26.2
01/06/2016,28.1
01/07/2016,29.1
01/08/2016,28.7
01/09/2016,28.1
01/10/2016,26.8
01/11/2016,23.4
01/12/2016,24.4
01/01/2017,22.4
01/02/2017,22.4
01/03/2017,22.6
01/04/2017,25.2
01/05/2017,27.6
01/06/2017,28.3
01/07/2017,29.5
01/08/2017,29.5
01/09/2017,29.1
01/10/2017,26.9
01/11/2017,24.9
01/12/2017,21.9
01/01/2018,20
01/02/2018,24.3
01/03/2018,21.3
01/04/2018,24.7
01/05/2018,25.6
01/06/2018,27.6
01/07/2018,28.4
