AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1997,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,27.2,25.6,23.2,20.4
1998,21.0,20.6,20.8,24.1,26.7,29.2,29.0,29.1,28.3,26.8,24.4,22.9
1999,21.1,20.6,21.3,24.9,25.6,26.6,28.5,27.9,27.3,25.9,23.2,20.9
2000,20.1,20.6,23.5,23.7,26.2,27.5,28.1,28.2,28.1,25.3,22.9,20.5
2001,17.0,23.1,22.6,24.1,25.0,27.6,27.7,28.7,27.0,25.8,23.2,22.7
2002,20.8,20.9,23.6,25.4,26.7,26.7,28.0,28.4,28.3,27.5,23.1,21.3
2003,17.1,22.3,25.5,24.0,27.1,27.7,28.8,28.1,27.5,26.6,24.1,19.4
2004,19.2,21.2,22.3,22.9,26.0,28.7,28.6,27.7,26.8,25.9,23.7,20.3
2005,19.8,20.0,21.5,22.8,25.7,27.0,29.2,29.1,28.2,26.6,25.0,20.5
2006,20.7,19.7,21.9,24.7,25.8,27.8,28.0,28.4,27.7,26.5,22.5,23.3
2007,22.3,20.4,22.9,23.6,25.5,27.0,28.4,29.1,27.9,27.3,23.6,23.6
2008,21.1,23.1,23.3,24.4,27.0,28.1,28.0,28.5,28.2,25.5,22.4,22.3
2009,19.7,19.8,22.1,24.6,26.5,27.8,28.9,29.4,28.3,27.6,24.1,22.7
2010,17.4,18.1,19.7,24.4,27.4,29.4,29.1,29.0,28.2,26.1,23.1,16.2
2011,19.3,22.0,22.9,26.4,27.0,28.3,29.0,28.6,28.3,25.7,23.8,22.6
2012,20.3,22.4,23.7,24.0,26.0,27.9,28.3,28.5,27.7,26.0,21.7,22.1
2013,22.6,21.7,19.8,25.1,25.6,27.8,27.7,28.6,27.8,26.7,24.7,23.7
2014,20.0,23.2,22.9,25.0,26.6,27.1,28.3,28.9,27.6,26.3,22.3,21.6
2015,21.4,20.1,24.4,26.4,26.8,28.2,28.9,29.0,28.0,26.5,25.5,24.8
2016,19.7,20.1,24.1,24.7,26.2,28.1,29.1,28.7,28.1,26.8,23.4,24.4
2017,22.4,22.4,22.6,25.2,27.6,28.3,29.5,29.5,28.2,26.9,24.9,21.9
2018,20.0,24.3,21.3,24.7,25.6,27.6,28.4,28.4,28.3,27.1,24.2,21.9
2019,20.0,23.5,22.9,25.2,27.5,28.7,29.3,28.6,29.0,28.2,24.1,23.0
2020,21.9,22.7,24.6,27.2,26.0,28.8,29.4,29.4,28.5,27.6,25.1,20.6
2021,20.4,23.1,23.4,25.0,27.0,27.9,28.4,29.3,27.6,27.1,22.8,23.5
2022,20.2,22.7,24.2,25.5,26.9,27.5,29.2,29.6,28.6,26.5,25.7,22.2
2023,22.1,24.0,24.6,26.0,27.0,28.3,29.8,29.9,28.7,27.4,25.2,21.9
2024,21.0,19.8,23.4,23.9,27.5,27.2,28.5,28.2,27.9,26.0,24.5,21.8
2025,19.3,23.2,22.4,24.7,27.4,27.8,28.2,28.8,28.8,28.8,28.8,28.8
