AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1997,,,,,,,,28.8,27.2,24.6,25.2,20.4
1998,21.6,20.4,22.7,23.7,27.7,28.4,30.9,27.2,28.5,26.4,24.5,23.8
1999,20.9,20,23.1,23.6,25.8,29.3,27.8,28.1,28.1,27.5,24.8,21.7
2000,19.9,20,21.5,23.4,26.2,30.4,27.7,28.2,25.6,27.1,22.3,20.9
2001,21.5,18.9,22.6,25.1,28.2,27,27.8,30.7,28,25.5,23.3,20.8
2002,19.8,22.7,23.6,22.8,26.7,27.6,29.5,28.4,28.5,26.2,21.6,22.1
2003,18.8,22.3,21.7,23.5,26.4,28.8,28.4,30.6,30.1,28.5,23.9,20.2
2004,21.8,20.9,22.6,25,24.5,30.1,29.7,29.1,29.2,27.1,24.4,21.7
2005,19.5,21.8,23,25.6,26.7,27.1,26.8,28.5,28.1,,22.4,23.3
2006,21.7,20.5,23.5,25.4,26.5,27,30.6,29.1,27.9,27.4,26.2,21.5
2007,21.2,23.8,21.3,23.6,25.8,28,28.4,29.1,27.2,25.8,24.7,22.3
2008,21.5,22,23.5,22.9,26.1,30.4,29.2,29.6,28.5,27,24,26.4
2009,20,21.5,19.7,25.7,25.9,28.2,28.1,28.6,27.9,26.5,24.3,22
2010,20.3,23.1,23.7,25.4,25.7,29.8,30.1,28.1,30.1,25.7,22.1,23.5
2011,20.3,22.8,21.8,22.9,28.1,26.6,26.9,26.5,24.9,25.3,21.8,22.1
2012,17.8,20.3,25.5,24.8,26.7,26.4,28.5,28.9,26.4,26.8,25.8,21.8
2013,20.3,19.2,21,25.7,25.8,27.2,28,28.8,26.9,26.8,22.8,23.1
2014,19.3,23.2,22.7,23.4,27.7,26.7,28.2,28.8,28.2,24.2,23.3,22.4
2015,19,23.2,23.4,23.8,26.4,30.6,30,29.3,26.7,28.6,25.7,22.1
2016,19.9,21.5,21.3,23.9,27.6,26.2,28.5,29,28.5,25.3,23.1,23.6
2017,19.1,22.9,22.2,25.8,26.2,27,29.9,28.9,,27.8,24.2,21.8
2018,20.6,21.9,21.8,25.5,26.2,27.9,28.3,29.2,27.6,26.9,27.8,22.3
2019,20.1,19.7,22.9,23.2,26.3,28.6,26.9,29.1,28.8,25.2,24.1,20.1
2020,22.6,22.2,22.6,24.4,28.1,28.3,29.4,30.8,28,25.4,23.6,24.1
2021,20.8,21.2,24,25.8,26.2,27.3,27.1,26.8,28.2,25.7,26.8,22.5
2022,18.4,23.5,23.1,25.4,27.6,28.9,29.6,29.3,27.2,27.2,25.8,22.1
2023,21.4,22.3,25.1,24.3,26.5,28.4,28.9,26.3,27.7,27.2,24.6,21.5
2024,19.9,21.4,22,24,26.2,29.6,30.3,30.2,29.1,26,25.8,22.1
2025,20.8,23.5,23.1,25,25.2,29.1,27.9,,,,,
